 處理範圍: 1000 ~ 1500 (共 500 users)
juns2nc -> 308 outfits | ⏱ 319.84s | avg 174.95s                                            
hnn009 -> 0 outfits | ⏱ 1.86s | avg 172.79s                                                 
yuzu93 -> 277 outfits | ⏱ 182.35s | avg 172.90s                                             
coen9074100919 -> 74 outfits | ⏱ 49.72s | avg 171.40s                                       
sena15maru -> 53 outfits | ⏱ 33.75s | avg 169.74s                                           
zly0924 -> 286 outfits | ⏱ 178.74s | avg 169.85s                                            
ms10160 -> 125 outfits | ⏱ 80.79s | avg 168.80s                                             
eclair17 -> 24 outfits | ⏱ 15.89s | avg 167.02s                                             
herliptoofficial -> 84 outfits | ⏱ 155.54s | avg 166.89s                                    
kijhrt -> 4 outfits | ⏱ 4.21s | avg 165.04s                                                 
Users:  18%|███████▌                          ❌ download fail: https://images.wear2.jp/coordinate/ROiGx6/Quz2Dz3X/1721373269_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
❌ download fail: https://images.wear2.jp/coordinate/ROiGx6/RRSNFlhi/1718454649_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
chiii1008 -> 360 outfits | ⏱ 253.88s | avg 166.04s                                          
3a8n -> 108 outfits | ⏱ 66.60s | avg 164.94s                                                
amim1 -> 69 outfits | ⏱ 145.08s | avg 164.72s                                               
gwkazuo -> 630 outfits | ⏱ 481.51s | avg 168.16s                                            
Users:  18%|███████▌                  ❌ download fail: https://images.wear2.jp/coordinate/wni4vd8a/QP6z5vd7/1774500117_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
axes_staff_ari -> 468 outfits | ⏱ 386.03s | avg 170.50s                                     
tanevo -> 67 outfits | ⏱ 143.89s | avg 170.22s                                              
kurt23 -> 18 outfits | ⏱ 14.05s | avg 168.58s                                               
SC0448 -> 4 outfits | ⏱ 4.26s | avg 166.87s                                                 
yktkhs1120 -> 123 outfits | ⏱ 73.60s | avg 165.90s                                          
pisui -> 78 outfits | ⏱ 40.96s | avg 164.63s                                                
ran023 -> 160 outfits | ⏱ 187.47s | avg 164.86s                                             
rikoolive -> 74 outfits | ⏱ 137.67s | avg 164.59s                                           
Users:  20%|████████                       ❌ download fail: https://images.wear2.jp/coordinate/WjiQjJPl/QYd6BEH2/1761780633_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
tntun0 -> 728 outfits | ⏱ 518.54s | avg 168.09s                                             
takenokopopopo -> 42 outfits | ⏱ 19.60s | avg 166.64s                                       
youngsta -> 0 outfits | ⏱ 1.89s | avg 165.04s                                               
kumi1772 -> 59 outfits | ⏱ 26.82s | avg 163.71s                                             
comoi11 -> 25 outfits | ⏱ 13.48s | avg 162.28s                                              
naoto630 -> 167 outfits | ⏱ 65.96s | avg 161.37s                                            
jonmichun -> 152 outfits | ⏱ 85.02s | avg 160.66s                                           
m121859s -> 346 outfits | ⏱ 197.99s | avg 161.00s                                           
crayon0088 -> 106 outfits | ⏱ 170.48s | avg 161.09s                                         
lsp2015 -> 89 outfits | ⏱ 44.88s | avg 160.03s                                              
kimamanifashion -> 777 outfits | ⏱ 355.26s | avg 161.79s                                    
momokagoshima -> 54 outfits | ⏱ 127.68s | avg 161.49s                                       
ikuko0205 -> 208 outfits | ⏱ 124.56s | avg 161.16s                                          
aikyon2023 -> 38 outfits | ⏱ 123.16s | avg 160.83s                                          
iam144cm -> 552 outfits | ⏱ 348.87s | avg 162.46s                                           
14shiro -> 47 outfits | ⏱ 128.33s | avg 162.17s                                             
mikanpocha -> 116 outfits | ⏱ 170.26s | avg 162.24s                                         
fanccchi -> 40 outfits | ⏱ 25.85s | avg 161.08s                                             
sakuchan0114 -> 6 outfits | ⏱ 5.37s | avg 159.77s                                           
darinrin0216 -> 49 outfits | ⏱ 131.89s | avg 159.54s                                        
deep23 -> 25 outfits | ⏱ 16.93s | avg 158.36s                                               
gyn11 -> 0 outfits | ⏱ 1.79s | avg 157.08s                                                  
